course_id,course_name,user_id,final_score,current_score,failed,total_activity_time,page_views,page_views_level,participations,participations_level,on_time,late,missing,morning_activity,afternoon_activity,evening_activity,night_activity,dominant_time,is_morning_studier,is_evening_studier,time_concentration,activity_span_days,unique_active_hours,avg_gap_hours,gap_std_hours,modules_completed,first_module_time
86005,TALL DE COMPETENCIAS DIGITALES-P01,117583,80.59,85.73,0,6184,579,2,7,2,6,0,8,112,266,175,26,afternoon,0,0,0.459412780656304,126,55,56.351851851851855,68.04278539800374,4,2025-08-11T19:43:40+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,117437,89.28,89.28,0,46455,1373,3,29,3,17,0,1,230,538,440,165,afternoon,0,0,0.39184268026219954,135,144,22.755244755244757,29.603254589364862,4,2025-08-08T02:46:00+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,114927,82.44,82.44,0,4067,181,1,15,2,14,0,1,19,61,65,36,evening,0,1,0.35911602209944754,138,53,63.94230769230769,64.40479361684503,4,2025-08-08T02:46:00+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,113336,64.06,84.29,0,8514,1514,3,11,2,9,0,9,251,457,606,200,evening,0,1,0.4002642007926024,136,52,64.27450980392157,76.24781023699093,4,2025-08-12T23:20:19+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,107496,44.43,83.83,1,6587,431,2,10,2,9,0,9,120,143,62,106,afternoon,0,0,0.33178654292343385,116,25,116.08333333333333,103.70748794352102,4,2025-08-10T16:58:33+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,116127,27.0,90.0,1,2096,614,2,12,2,11,0,7,64,187,180,183,afternoon,0,0,0.30456026058631924,137,37,91.44444444444444,86.60268293394856,4,2025-08-08T02:46:01+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,114199,55.74,85.75,1,4997,1486,3,15,3,13,0,5,130,417,403,536,night,0,0,0.360699865410498,119,42,70.1951219512195,77.65785481990234,4,2025-08-16T23:57:59+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,112230,91.95,91.95,0,6153,1396,3,22,3,16,0,2,187,400,595,214,evening,0,1,0.4262177650429799,127,53,59.03846153846154,65.18847277125397,4,2025-08-12T15:43:54+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,114020,68.68,83.76,0,10511,1155,3,15,3,12,0,5,202,384,400,169,evening,0,1,0.3463203463203463,138,70,48.21739130434783,61.29966062870746,4,2025-08-08T02:46:01+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,119050,49.95,84.66,1,7969,406,2,15,3,12,0,6,14,196,102,94,afternoon,0,0,0.4827586206896552,113,42,66.2439024390244,80.16135571847964,4,2025-08-08T02:46:00+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,115247,75.48,80.3,0,24594,393,2,9,2,7,0,10,38,83,162,110,evening,0,1,0.4122137404580153,128,47,66.78260869565217,139.611092284413,4,2025-08-11T20:36:29+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,115117,45.13,85.15,1,12272,844,2,11,2,10,0,8,206,208,221,209,evening,0,1,0.2618483412322275,133,59,55.275862068965516,65.05217881888679,4,2025-08-08T02:46:00+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,90878,74.38,84.52,0,8321,360,1,14,2,13,0,4,36,92,141,91,evening,0,1,0.39166666666666666,138,58,58.19298245614035,83.02577038031811,4,2025-08-16T22:17:28+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,91444,65.29,74.19,0,2088,352,1,5,1,5,0,13,30,142,137,43,afternoon,0,0,0.4034090909090909,129,32,99.96774193548387,154.4938633024851,4,2025-08-17T21:17:38+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,120049,43.5,82.08,1,9456,667,2,14,2,13,0,5,131,327,185,24,afternoon,0,0,0.49025487256371814,139,70,48.666666666666664,56.71762414707521,4,2025-08-08T02:46:00+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,115626,83.89,83.89,0,22873,536,2,16,3,15,0,2,81,197,210,48,evening,0,1,0.3917910447761194,132,60,53.932203389830505,75.67568277155935,4,2025-08-10T16:00:24+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,117257,85.29,85.29,0,40397,753,2,21,3,16,0,2,87,387,251,28,afternoon,0,0,0.5139442231075697,132,86,37.43529411764706,45.31755848748292,4,2025-08-15T19:12:32+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,116539,78.35,83.35,0,12741,1075,2,8,1,7,0,10,85,403,222,365,afternoon,0,0,0.37488372093023253,131,80,39.9873417721519,60.016346648939944,4,2025-08-11T00:34:33+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,116306,45.84,86.49,1,6242,648,2,10,2,7,0,11,143,241,208,56,afternoon,0,0,0.37191358024691357,145,54,66.0377358490566,100.95187761935694,4,2025-08-08T02:46:00+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,117003,68.76,78.14,0,35223,1168,3,17,3,13,0,4,379,452,310,27,afternoon,0,0,0.386986301369863,129,94,33.32258064516129,43.730642117477956,4,2025-08-11T14:10:51+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,114617,68.85,78.24,0,7511,1455,3,19,3,14,0,4,142,651,493,169,afternoon,0,0,0.44742268041237115,126,69,44.779411764705884,53.52482810045625,4,2025-08-07T23:53:36+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,114942,45.68,55.71,1,1651,301,1,9,2,8,0,10,25,19,236,21,evening,0,1,0.7840531561461794,110,15,190.21428571428572,215.15581681703165,4,2025-08-11T00:27:13+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,118218,76.74,87.2,0,18922,958,2,17,3,13,0,5,197,161,233,367,night,0,0,0.38308977035490605,123,53,56.96153846153846,75.20765139533589,4,2025-08-08T17:56:15+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,116782,5.7,95.0,1,656,257,1,7,1,7,0,11,104,61,92,0,morning,1,0,0.4046692607003891,141,18,199.47058823529412,176.2438543432696,4,2025-08-08T02:46:01+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,118190,84.08,89.45,0,15468,1932,3,20,3,13,0,5,521,567,464,380,afternoon,0,0,0.29347826086956524,128,86,36.37647058823529,50.09144026221698,4,2025-07-28T21:00:58+00:00
86020,TALL DE COMPETENCIAS DIGITALES-P02,118738,86.7,86.7,0,5207,580,2,15,3,12,0,5,98,166,235,81,evening,0,1,0.4051724137931034,127,54,57.867924528301884,48.827782740879506,4,2025-08-12T01:06:59+00:00
